10000; 480047
20000; 1040049
30000; 1560057
40000; 2240051
50000; 2800055
60000; 3360059
70000; 4200057
80000; 4800053
90000; 5400069
100000; 6000057
10000; 480047
20000; 1040049
30000; 1560057
40000; 2240051
50000; 2800055
60000; 3360059
70000; 4200057
80000; 4800053
90000; 5400069
100000; 6000057
10000; 480047
20000; 1040049
30000; 1560057
40000; 2240051
50000; 2800055
60000; 3360059
70000; 4200057
80000; 4800053
90000; 5400069
100000; 6000057
